jjSASKSQSJ	(2) royal straight flush!
jjHACACQCJ	(6) 3 cards
jjHACACQDA	(6) 3 cards
jjHACACQDK	(6) 3 cards
jjHACACQDQ	(4) full house
jjHACACQDJ	(6) 3 cards
jjHACACJDA	(6) 3 cards
jjHACACJDK	(6) 3 cards
jjHACACJDQ	(6) 3 cards
jjHACACJDJ	(4) full house
jjHACADADK	(6) 3 cards
jjHACADADQ	(6) 3 cards
jjHACADADJ	(6) 3 cards
jjHACADKDQ	(6) 3 cards
jjHACADKDJ	(6) 3 cards
jjHACADQDJ	(6) 3 cards
jjHACKCQCJ	(5) straight!
jjHACKCQDA	(6) 3 cards
jjHACKCQDK	(6) 3 cards
jjHACKCQDQ	(6) 3 cards
jjHACKCQDJ	(5) straight!
jjHACKCJDA	(6) 3 cards
jjHACKCJDK	(6) 3 cards
jjHACKCJDQ	(5) straight!
jjHACKCJDJ	(6) 3 cards
jjHACKDADK	(4) full house
jjHACKDADQ	(6) 3 cards
jjHACKDADJ	(6) 3 cards
jjHACKDKDQ	(6) 3 cards
jjHACKDKDJ	(6) 3 cards
jjHACKDQDJ	(5) straight!
jjHACQCJDA	(6) 3 cards
jjHACQCJDK	(5) straight!
jjHACQCJDQ	(6) 3 cards
jjHACQCJDJ	(6) 3 cards
jjHACQDADK	(6) 3 cards
jjHACQDADQ	(4) full house
jjHACQDADJ	(6) 3 cards
jjHACQDKDQ	(6) 3 cards
jjHACQDKDJ	(5) straight!
jjHACQDQDJ	(6) 3 cards
jjHACJDADK	(6) 3 cards
jjHACJDADQ	(6) 3 cards
jjHACJDADJ	(4) full house
jjHACJDKDQ	(5) straight!
jjHACJDKDJ	(6) 3 cards
jjHACJDQDJ	(6) 3 cards
jjHADADKDQ	(6) 3 cards
jjHADADKDJ	(6) 3 cards
jjHADADQDJ	(6) 3 cards
jjHADKDQDJ	(5) straight!
jjHKHQHJCA	(5) straight!
jjHKHQHJCK	(6) 3 cards
jjHKHQHJCQ	(6) 3 cards
jjHKHQHJCJ	(6) 3 cards
jjHKHQHJDA	(5) straight!
jjHKHQHJDK	(6) 3 cards
jjHKHQHJDQ	(6) 3 cards
jjHKHQHJDJ	(6) 3 cards
jjHKHQCACK	(6) 3 cards
jjHKHQCACQ	(6) 3 cards
jjHKHQCACJ	(5) straight!
jjHKHQCADA	(6) 3 cards
jjHKHQCADK	(6) 3 cards
jjHKHQCADQ	(6) 3 cards
jjHKHQCADJ	(5) straight!
jjHKHQCKCQ	(4) full house
jjHKHQCKCJ	(6) 3 cards
jjHKHQCKDA	(6) 3 cards
jjHKHQCKDK	(6) 3 cards
jjHKHQCKDQ	(4) full house
jjHKHQCKDJ	(6) 3 cards
jjHKHQCQCJ	(6) 3 cards
jjHKHQCQDA	(6) 3 cards
jjHKHQCQDK	(4) full house
jjHKHQCQDQ	(6) 3 cards
jjHKHQCQDJ	(6) 3 cards
jjHKHQCJDA	(5) straight!
jjHKHQCJDK	(6) 3 cards
jjHKHQCJDQ	(6) 3 cards
jjHKHQCJDJ	(6) 3 cards
jjHKHQDADK	(6) 3 cards
jjHKHQDADQ	(6) 3 cards
jjHKHQDADJ	(5) straight!
jjHKHQDKDQ	(4) full house
jjHKHQDKDJ	(6) 3 cards
jjHKHQDQDJ	(6) 3 cards
jjHKHJCACK	(6) 3 cards
jjHKHJCACQ	(5) straight!
jjHKHJCACJ	(6) 3 cards
jjHKHJCADA	(6) 3 cards
jjHKHJCADK	(6) 3 cards
jjHKHJCADQ	(5) straight!
jjHKHJCADJ	(6) 3 cards
jjHKHJCKCQ	(6) 3 cards
jjHKHJCKCJ	(4) full house
jjHKHJCKDA	(6) 3 cards
jjHKHJCKDK	(6) 3 cards
jjHKHJCKDQ	(6) 3 cards
jjHKHJCKDJ	(4) full house
jjHKHJCQCJ	(6) 3 cards
jjHKHJCQDA	(5) straight!
jjHKHJCQDK	(6) 3 cards
jjHKHJCQDQ	(6) 3 cards
jjHKHJCQDJ	(6) 3 cards
jjHKHJCJDA	(6) 3 cards
jjHKHJCJDK	(4) full house
jjHKHJCJDQ	(6) 3 cards
jjHKHJCJDJ	(6) 3 cards
jjHKHJDADK	(6) 3 cards
jjHKHJDADQ	(5) straight!
jjHKHJDADJ	(6) 3 cards
jjHKHJDKDQ	(6) 3 cards
jjHKHJDKDJ	(4) full house
jjHKHJDQDJ	(6) 3 cards
jjHKCACKCQ	(6) 3 cards
jjHKCACKCJ	(6) 3 cards
jjHKCACKDA	(4) full house
jjHKCACKDK	(6) 3 cards
jjHKCACKDQ	(6) 3 cards
jjHKCACKDJ	(6) 3 cards
jjHKCACQCJ	(5) straight!
jjHKCACQDA	(6) 3 cards
jjHKCACQDK	(6) 3 cards
jjHKCACQDQ	(6) 3 cards
jjHKCACQDJ	(5) straight!
jjHKCACJDA	(6) 3 cards
jjHKCACJDK	(6) 3 cards
jjHKCACJDQ	(5) straight!
jjHKCACJDJ	(6) 3 cards
jjHKCADADK	(4) full house
jjHKCADADQ	(6) 3 cards
jjHKCADADJ	(6) 3 cards
jjHKCADKDQ	(6) 3 cards
jjHKCADKDJ	(6) 3 cards
jjHKCADQDJ	(5) straight!
jjHKCKCQCJ	(6) 3 cards
jjHKCKCQDA	(6) 3 cards
jjHKCKCQDK	(6) 3 cards
jjHKCKCQDQ	(4) full house
jjHKCKCQDJ	(6) 3 cards
jjHKCKCJDA	(6) 3 cards
jjHKCKCJDK	(6) 3 cards
jjHKCKCJDQ	(6) 3 cards
jjHKCKCJDJ	(4) full house
jjHKCKDADK	(6) 3 cards
jjHKCKDADQ	(6) 3 cards
jjHKCKDADJ	(6) 3 cards
jjHKCKDKDQ	(6) 3 cards
jjHKCKDKDJ	(6) 3 cards
jjHKCKDQDJ	(6) 3 cards
jjHKCQCJDA	(5) straight!
jjHKCQCJDK	(6) 3 cards
jjHKCQCJDQ	(6) 3 cards
jjHKCQCJDJ	(6) 3 cards
jjHKCQDADK	(6) 3 cards
jjHKCQDADQ	(6) 3 cards
jjHKCQDADJ	(5) straight!
jjHKCQDKDQ	(4) full house
jjHKCQDKDJ	(6) 3 cards
jjHKCQDQDJ	(6) 3 cards
jjHKCJDADK	(6) 3 cards
jjHKCJDADQ	(5) straight!
jjHKCJDADJ	(6) 3 cards
jjHKCJDKDQ	(6) 3 cards
jjHKCJDKDJ	(4) full house
jjHKCJDQDJ	(6) 3 cards
jjHKDADKDQ	(6) 3 cards
jjHKDADKDJ	(6) 3 cards
jjHKDADQDJ	(5) straight!
jjHKDKDQDJ	(6) 3 cards
jjHQHJCACK	(5) straight!
jjHQHJCACQ	(6) 3 cards
jjHQHJCACJ	(6) 3 cards
jjHQHJCADA	(6) 3 cards
jjHQHJCADK	(5) straight!
jjHQHJCADQ	(6) 3 cards
jjHQHJCADJ	(6) 3 cards
jjHQHJCKCQ	(6) 3 cards
jjHQHJCKCJ	(6) 3 cards
jjHQHJCKDA	(5) straight!
jjHQHJCKDK	(6) 3 cards
jjHQHJCKDQ	(6) 3 cards
jjHQHJCKDJ	(6) 3 cards
jjHQHJCQCJ	(4) full house
jjHQHJCQDA	(6) 3 cards
jjHQHJCQDK	(6) 3 cards
jjHQHJCQDQ	(6) 3 cards
jjHQHJCQDJ	(4) full house
jjHQHJCJDA	(6) 3 cards
jjHQHJCJDK	(6) 3 cards
jjHQHJCJDQ	(4) full house
jjHQHJCJDJ	(6) 3 cards
jjHQHJDADK	(5) straight!
jjHQHJDADQ	(6) 3 cards
jjHQHJDADJ	(6) 3 cards
jjHQHJDKDQ	(6) 3 cards
jjHQHJDKDJ	(6) 3 cards
jjHQHJDQDJ	(4) full house
jjHQCACKCQ	(6) 3 cards
jjHQCACKCJ	(5) straight!
jjHQCACKDA	(6) 3 cards
jjHQCACKDK	(6) 3 cards
jjHQCACKDQ	(6) 3 cards
jjHQCACKDJ	(5) straight!
jjHQCACQCJ	(6) 3 cards
jjHQCACQDA	(4) full house
jjHQCACQDK	(6) 3 cards
jjHQCACQDQ	(6) 3 cards
jjHQCACQDJ	(6) 3 cards
jjHQCACJDA	(6) 3 cards
jjHQCACJDK	(5) straight!
jjHQCACJDQ	(6) 3 cards
jjHQCACJDJ	(6) 3 cards
jjHQCADADK	(6) 3 cards
jjHQCADADQ	(4) full house
jjHQCADADJ	(6) 3 cards
jjHQCADKDQ	(6) 3 cards
jjHQCADKDJ	(5) straight!
jjHQCADQDJ	(6) 3 cards
jjHQCKCQCJ	(6) 3 cards
jjHQCKCQDA	(6) 3 cards
jjHQCKCQDK	(4) full house
jjHQCKCQDQ	(6) 3 cards
jjHQCKCQDJ	(6) 3 cards
jjHQCKCJDA	(5) straight!
jjHQCKCJDK	(6) 3 cards
jjHQCKCJDQ	(6) 3 cards
jjHQCKCJDJ	(6) 3 cards
jjHQCKDADK	(6) 3 cards
jjHQCKDADQ	(6) 3 cards
jjHQCKDADJ	(5) straight!
jjHQCKDKDQ	(4) full house
jjHQCKDKDJ	(6) 3 cards
jjHQCKDQDJ	(6) 3 cards
jjHQCQCJDA	(6) 3 cards
jjHQCQCJDK	(6) 3 cards
jjHQCQCJDQ	(6) 3 cards
jjHQCQCJDJ	(4) full house
jjHQCQDADK	(6) 3 cards
jjHQCQDADQ	(6) 3 cards
jjHQCQDADJ	(6) 3 cards
jjHQCQDKDQ	(6) 3 cards
jjHQCQDKDJ	(6) 3 cards
jjHQCQDQDJ	(6) 3 cards
jjHQCJDADK	(5) straight!
jjHQCJDADQ	(6) 3 cards
jjHQCJDADJ	(6) 3 cards
jjHQCJDKDQ	(6) 3 cards
jjHQCJDKDJ	(6) 3 cards
jjHQCJDQDJ	(4) full house
jjHQDADKDQ	(6) 3 cards
jjHQDADKDJ	(5) straight!
jjHQDADQDJ	(6) 3 cards
jjHQDKDQDJ	(6) 3 cards
jjHJCACKCQ	(5) straight!
jjHJCACKCJ	(6) 3 cards
jjHJCACKDA	(6) 3 cards
jjHJCACKDK	(6) 3 cards
jjHJCACKDQ	(5) straight!
jjHJCACKDJ	(6) 3 cards
jjHJCACQCJ	(6) 3 cards
jjHJCACQDA	(6) 3 cards
jjHJCACQDK	(5) straight!
jjHJCACQDQ	(6) 3 cards
jjHJCACQDJ	(6) 3 cards
jjHJCACJDA	(4) full house
jjHJCACJDK	(6) 3 cards
jjHJCACJDQ	(6) 3 cards
jjHJCACJDJ	(6) 3 cards
jjHJCADADK	(6) 3 cards
jjHJCADADQ	(6) 3 cards
jjHJCADADJ	(4) full house
jjHJCADKDQ	(5) straight!
jjHJCADKDJ	(6) 3 cards
jjHJCADQDJ	(6) 3 cards
jjHJCKCQCJ	(6) 3 cards
jjHJCKCQDA	(5) straight!
jjHJCKCQDK	(6) 3 cards
jjHJCKCQDQ	(6) 3 cards
jjHJCKCQDJ	(6) 3 cards
jjHJCKCJDA	(6) 3 cards
jjHJCKCJDK	(4) full house
jjHJCKCJDQ	(6) 3 cards
jjHJCKCJDJ	(6) 3 cards
jjHJCKDADK	(6) 3 cards
jjHJCKDADQ	(5) straight!
jjHJCKDADJ	(6) 3 cards
jjHJCKDKDQ	(6) 3 cards
jjHJCKDKDJ	(4) full house
jjHJCKDQDJ	(6) 3 cards
jjHJCQCJDA	(6) 3 cards
jjHJCQCJDK	(6) 3 cards
jjHJCQCJDQ	(4) full house
jjHJCQCJDJ	(6) 3 cards
jjHJCQDADK	(5) straight!
jjHJCQDADQ	(6) 3 cards
jjHJCQDADJ	(6) 3 cards
jjHJCQDKDQ	(6) 3 cards
jjHJCQDKDJ	(6) 3 cards
jjHJCQDQDJ	(4) full house
jjHJCJDADK	(6) 3 cards
jjHJCJDADQ	(6) 3 cards
jjHJCJDADJ	(6) 3 cards
jjHJCJDKDQ	(6) 3 cards
jjHJCJDKDJ	(6) 3 cards
jjHJCJDQDJ	(6) 3 cards
jjHJDADKDQ	(5) straight!
jjHJDADKDJ	(6) 3 cards
jjHJDADQDJ	(6) 3 cards
jjHJDKDQDJ	(6) 3 cards
jjCACKCQCJ	(2) royal straight flush!
jjCACKCQDA	(6) 3 cards
jjCACKCQDK	(6) 3 cards
jjCACKCQDQ	(6) 3 cards
jjCACKCQDJ	(5) straight!
jjCACKCJDA	(6) 3 cards
jjCACKCJDK	(6) 3 cards
jjCACKCJDQ	(5) straight!
jjCACKCJDJ	(6) 3 cards
jjCACKDADK	(4) full house
jjCACKDADQ	(6) 3 cards
jjCACKDADJ	(6) 3 cards
jjCACKDKDQ	(6) 3 cards
jjCACKDKDJ	(6) 3 cards
jjCACKDQDJ	(5) straight!
jjCACQCJDA	(6) 3 cards
jjCACQCJDK	(5) straight!
jjCACQCJDQ	(6) 3 cards
jjCACQCJDJ	(6) 3 cards
jjCACQDADK	(6) 3 cards
jjCACQDADQ	(4) full house
jjCACQDADJ	(6) 3 cards
jjCACQDKDQ	(6) 3 cards
jjCACQDKDJ	(5) straight!
jjCACQDQDJ	(6) 3 cards
jjCACJDADK	(6) 3 cards
jjCACJDADQ	(6) 3 cards
jjCACJDADJ	(4) full house
jjCACJDKDQ	(5) straight!
jjCACJDKDJ	(6) 3 cards
jjCACJDQDJ	(6) 3 cards
jjCADADKDQ	(6) 3 cards
jjCADADKDJ	(6) 3 cards
jjCADADQDJ	(6) 3 cards
jjCADKDQDJ	(5) straight!
jjCKCQCJDA	(5) straight!
jjCKCQCJDK	(6) 3 cards
jjCKCQCJDQ	(6) 3 cards
jjCKCQCJDJ	(6) 3 cards
jjCKCQDADK	(6) 3 cards
jjCKCQDADQ	(6) 3 cards
jjCKCQDADJ	(5) straight!
jjCKCQDKDQ	(4) full house
jjCKCQDKDJ	(6) 3 cards
jjCKCQDQDJ	(6) 3 cards
jjCKCJDADK	(6) 3 cards
jjCKCJDADQ	(5) straight!
jjCKCJDADJ	(6) 3 cards
jjCKCJDKDQ	(6) 3 cards
jjCKCJDKDJ	(4) full house
jjCKCJDQDJ	(6) 3 cards
jjCKDADKDQ	(6) 3 cards
jjCKDADKDJ	(6) 3 cards
jjCKDADQDJ	(5) straight!
jjCKDKDQDJ	(6) 3 cards
jjCQCJDADK	(5) straight!
jjCQCJDADQ	(6) 3 cards
jjCQCJDADJ	(6) 3 cards
jjCQCJDKDQ	(6) 3 cards
jjCQCJDKDJ	(6) 3 cards
jjCQCJDQDJ	(4) full house
jjCQDADKDQ	(6) 3 cards
jjCQDADKDJ	(5) straight!
jjCQDADQDJ	(6) 3 cards
jjCQDKDQDJ	(6) 3 cards
jjCJDADKDQ	(5) straight!
jjCJDADKDJ	(6) 3 cards
jjCJDADQDJ	(6) 3 cards
jjCJDKDQDJ	(6) 3 cards
jjDADKDQDJ	(2) royal straight flush!
SASKSQSJHA	(8) 1 pair
SASKSQSJHK	(8) 1 pair
SASKSQSJHQ	(8) 1 pair
SASKSQSJHJ	(8) 1 pair
SASKSQSJCA	(8) 1 pair
SASKSQSJCK	(8) 1 pair
SASKSQSJCQ	(8) 1 pair
SASKSQSJCJ	(8) 1 pair
SASKSQSJDA	(8) 1 pair
SASKSQSJDK	(8) 1 pair
SASKSQSJDQ	(8) 1 pair
SASKSQSJDJ	(8) 1 pair
SASKSQHAHK	(7) 2 pairs
SASKSQHAHQ	(7) 2 pairs
SASKSQHAHJ	(8) 1 pair
SASKSQHACA	(6) 3 cards
SASKSQHACK	(7) 2 pairs
SASKSQHACQ	(7) 2 pairs
SASKSQHACJ	(8) 1 pair
SASKSQHADA	(6) 3 cards
SASKSQHADK	(7) 2 pairs
SASKSQHADQ	(7) 2 pairs
SASKSQHADJ	(8) 1 pair
SASKSQHKHQ	(7) 2 pairs
SASKSQHKHJ	(8) 1 pair
SASKSQHKCA	(7) 2 pairs
SASKSQHKCK	(6) 3 cards
SASKSQHKCQ	(7) 2 pairs
SASKSQHKCJ	(8) 1 pair
SASKSQHKDA	(7) 2 pairs
SASKSQHKDK	(6) 3 cards
SASKSQHKDQ	(7) 2 pairs
SASKSQHKDJ	(8) 1 pair
SASKSQHQHJ	(8) 1 pair
SASKSQHQCA	(7) 2 pairs
SASKSQHQCK	(7) 2 pairs
SASKSQHQCQ	(6) 3 cards
SASKSQHQCJ	(8) 1 pair
SASKSQHQDA	(7) 2 pairs
SASKSQHQDK	(7) 2 pairs
SASKSQHQDQ	(6) 3 cards
SASKSQHQDJ	(8) 1 pair
SASKSQHJCA	(8) 1 pair
SASKSQHJCK	(8) 1 pair
SASKSQHJCQ	(8) 1 pair
SASKSQHJCJ	(8) 1 pair
SASKSQHJDA	(8) 1 pair
SASKSQHJDK	(8) 1 pair
SASKSQHJDQ	(8) 1 pair
SASKSQHJDJ	(8) 1 pair
SASKSQCACK	(7) 2 pairs
SASKSQCACQ	(7) 2 pairs
SASKSQCACJ	(8) 1 pair
SASKSQCADA	(6) 3 cards
SASKSQCADK	(7) 2 pairs
SASKSQCADQ	(7) 2 pairs
SASKSQCADJ	(8) 1 pair
SASKSQCKCQ	(7) 2 pairs
SASKSQCKCJ	(8) 1 pair
SASKSQCKDA	(7) 2 pairs
SASKSQCKDK	(6) 3 cards
SASKSQCKDQ	(7) 2 pairs
SASKSQCKDJ	(8) 1 pair
SASKSQCQCJ	(8) 1 pair
SASKSQCQDA	(7) 2 pairs
SASKSQCQDK	(7) 2 pairs
SASKSQCQDQ	(6) 3 cards
SASKSQCQDJ	(8) 1 pair
SASKSQCJDA	(8) 1 pair
SASKSQCJDK	(8) 1 pair
SASKSQCJDQ	(8) 1 pair
SASKSQCJDJ	(8) 1 pair
SASKSQDADK	(7) 2 pairs
SASKSQDADQ	(7) 2 pairs
SASKSQDADJ	(8) 1 pair
SASKSQDKDQ	(7) 2 pairs
SASKSQDKDJ	(8) 1 pair
SASKSQDQDJ	(8) 1 pair
SASKSJHAHK	(7) 2 pairs
SASKSJHAHQ	(8) 1 pair
SASKSJHAHJ	(7) 2 pairs
SASKSJHACA	(6) 3 cards
SASKSJHACK	(7) 2 pairs
SASKSJHACQ	(8) 1 pair
SASKSJHACJ	(7) 2 pairs
SASKSJHADA	(6) 3 cards
SASKSJHADK	(7) 2 pairs
SASKSJHADQ	(8) 1 pair
SASKSJHADJ	(7) 2 pairs
SASKSJHKHQ	(8) 1 pair
SASKSJHKHJ	(7) 2 pairs
SASKSJHKCA	(7) 2 pairs
SASKSJHKCK	(6) 3 cards
SASKSJHKCQ	(8) 1 pair
SASKSJHKCJ	(7) 2 pairs
SASKSJHKDA	(7) 2 pairs
SASKSJHKDK	(6) 3 cards
SASKSJHKDQ	(8) 1 pair
SASKSJHKDJ	(7) 2 pairs
SASKSJHQHJ	(8) 1 pair
SASKSJHQCA	(8) 1 pair
SASKSJHQCK	(8) 1 pair
SASKSJHQCQ	(8) 1 pair
SASKSJHQCJ	(8) 1 pair
SASKSJHQDA	(8) 1 pair
SASKSJHQDK	(8) 1 pair
SASKSJHQDQ	(8) 1 pair
SASKSJHQDJ	(8) 1 pair
SASKSJHJCA	(7) 2 pairs
SASKSJHJCK	(7) 2 pairs
SASKSJHJCQ	(8) 1 pair
SASKSJHJCJ	(6) 3 cards
SASKSJHJDA	(7) 2 pairs
SASKSJHJDK	(7) 2 pairs
SASKSJHJDQ	(8) 1 pair
SASKSJHJDJ	(6) 3 cards
SASKSJCACK	(7) 2 pairs
SASKSJCACQ	(8) 1 pair
SASKSJCACJ	(7) 2 pairs
SASKSJCADA	(6) 3 cards
SASKSJCADK	(7) 2 pairs
SASKSJCADQ	(8) 1 pair
SASKSJCADJ	(7) 2 pairs
SASKSJCKCQ	(8) 1 pair
SASKSJCKCJ	(7) 2 pairs
SASKSJCKDA	(7) 2 pairs
SASKSJCKDK	(6) 3 cards
SASKSJCKDQ	(8) 1 pair
SASKSJCKDJ	(7) 2 pairs
SASKSJCQCJ	(8) 1 pair
SASKSJCQDA	(8) 1 pair
SASKSJCQDK	(8) 1 pair
SASKSJCQDQ	(8) 1 pair
SASKSJCQDJ	(8) 1 pair
SASKSJCJDA	(7) 2 pairs
SASKSJCJDK	(7) 2 pairs
SASKSJCJDQ	(8) 1 pair
SASKSJCJDJ	(6) 3 cards
SASKSJDADK	(7) 2 pairs
SASKSJDADQ	(8) 1 pair
SASKSJDADJ	(7) 2 pairs
SASKSJDKDQ	(8) 1 pair
SASKSJDKDJ	(7) 2 pairs
SASKSJDQDJ	(8) 1 pair
SASKHAHKHQ	(7) 2 pairs
SASKHAHKHJ	(7) 2 pairs
SASKHAHKCA	(4) full house
SASKHAHKCK	(4) full house
SASKHAHKCQ	(7) 2 pairs
SASKHAHKCJ	(7) 2 pairs
SASKHAHKDA	(4) full house
SASKHAHKDK	(4) full house
SASKHAHKDQ	(7) 2 pairs
SASKHAHKDJ	(7) 2 pairs
SASKHAHQHJ	(8) 1 pair
SASKHAHQCA	(6) 3 cards
SASKHAHQCK	(7) 2 pairs
SASKHAHQCQ	(7) 2 pairs
SASKHAHQCJ	(8) 1 pair
SASKHAHQDA	(6) 3 cards
SASKHAHQDK	(7) 2 pairs
SASKHAHQDQ	(7) 2 pairs
SASKHAHQDJ	(8) 1 pair
SASKHAHJCA	(6) 3 cards
SASKHAHJCK	(7) 2 pairs
SASKHAHJCQ	(8) 1 pair
SASKHAHJCJ	(7) 2 pairs
SASKHAHJDA	(6) 3 cards
SASKHAHJDK	(7) 2 pairs
SASKHAHJDQ	(8) 1 pair
SASKHAHJDJ	(7) 2 pairs
SASKHACACK	(4) full house
SASKHACACQ	(6) 3 cards
SASKHACACJ	(6) 3 cards
SASKHACADA	(3) 4 cards!
SASKHACADK	(4) full house
SASKHACADQ	(6) 3 cards
SASKHACADJ	(6) 3 cards
SASKHACKCQ	(7) 2 pairs
SASKHACKCJ	(7) 2 pairs
SASKHACKDA	(4) full house
SASKHACKDK	(4) full house
SASKHACKDQ	(7) 2 pairs
SASKHACKDJ	(7) 2 pairs
SASKHACQCJ	(8) 1 pair
SASKHACQDA	(6) 3 cards
SASKHACQDK	(7) 2 pairs
SASKHACQDQ	(7) 2 pairs
SASKHACQDJ	(8) 1 pair
SASKHACJDA	(6) 3 cards
SASKHACJDK	(7) 2 pairs
SASKHACJDQ	(8) 1 pair
SASKHACJDJ	(7) 2 pairs
SASKHADADK	(4) full house
SASKHADADQ	(6) 3 cards
SASKHADADJ	(6) 3 cards
SASKHADKDQ	(7) 2 pairs
SASKHADKDJ	(7) 2 pairs
SASKHADQDJ	(8) 1 pair
SASKHKHQHJ	(8) 1 pair
SASKHKHQCA	(7) 2 pairs
SASKHKHQCK	(6) 3 cards
SASKHKHQCQ	(7) 2 pairs
SASKHKHQCJ	(8) 1 pair
SASKHKHQDA	(7) 2 pairs
SASKHKHQDK	(6) 3 cards
SASKHKHQDQ	(7) 2 pairs
SASKHKHQDJ	(8) 1 pair
SASKHKHJCA	(7) 2 pairs
SASKHKHJCK	(6) 3 cards
SASKHKHJCQ	(8) 1 pair
SASKHKHJCJ	(7) 2 pairs
SASKHKHJDA	(7) 2 pairs
SASKHKHJDK	(6) 3 cards
SASKHKHJDQ	(8) 1 pair
SASKHKHJDJ	(7) 2 pairs
SASKHKCACK	(4) full house
SASKHKCACQ	(7) 2 pairs
SASKHKCACJ	(7) 2 pairs
SASKHKCADA	(4) full house
SASKHKCADK	(4) full house
SASKHKCADQ	(7) 2 pairs
SASKHKCADJ	(7) 2 pairs
SASKHKCKCQ	(6) 3 cards
SASKHKCKCJ	(6) 3 cards
SASKHKCKDA	(4) full house
SASKHKCKDK	(3) 4 cards!
SASKHKCKDQ	(6) 3 cards
SASKHKCKDJ	(6) 3 cards
SASKHKCQCJ	(8) 1 pair
SASKHKCQDA	(7) 2 pairs
SASKHKCQDK	(6) 3 cards
SASKHKCQDQ	(7) 2 pairs
SASKHKCQDJ	(8) 1 pair
SASKHKCJDA	(7) 2 pairs
SASKHKCJDK	(6) 3 cards
SASKHKCJDQ	(8) 1 pair
SASKHKCJDJ	(7) 2 pairs
SASKHKDADK	(4) full house
SASKHKDADQ	(7) 2 pairs
SASKHKDADJ	(7) 2 pairs
SASKHKDKDQ	(6) 3 cards
SASKHKDKDJ	(6) 3 cards
SASKHKDQDJ	(8) 1 pair
SASKHQHJCA	(8) 1 pair
SASKHQHJCK	(8) 1 pair
SASKHQHJCQ	(8) 1 pair
SASKHQHJCJ	(8) 1 pair
SASKHQHJDA	(8) 1 pair
SASKHQHJDK	(8) 1 pair
SASKHQHJDQ	(8) 1 pair
SASKHQHJDJ	(8) 1 pair
SASKHQCACK	(7) 2 pairs
SASKHQCACQ	(7) 2 pairs
SASKHQCACJ	(8) 1 pair
SASKHQCADA	(6) 3 cards
SASKHQCADK	(7) 2 pairs
SASKHQCADQ	(7) 2 pairs
SASKHQCADJ	(8) 1 pair
SASKHQCKCQ	(7) 2 pairs
SASKHQCKCJ	(8) 1 pair
SASKHQCKDA	(7) 2 pairs
SASKHQCKDK	(6) 3 cards
SASKHQCKDQ	(7) 2 pairs
SASKHQCKDJ	(8) 1 pair
SASKHQCQCJ	(8) 1 pair
SASKHQCQDA	(7) 2 pairs
SASKHQCQDK	(7) 2 pairs
SASKHQCQDQ	(6) 3 cards
SASKHQCQDJ	(8) 1 pair
SASKHQCJDA	(8) 1 pair
SASKHQCJDK	(8) 1 pair
SASKHQCJDQ	(8) 1 pair
SASKHQCJDJ	(8) 1 pair
SASKHQDADK	(7) 2 pairs
SASKHQDADQ	(7) 2 pairs
SASKHQDADJ	(8) 1 pair
SASKHQDKDQ	(7) 2 pairs
SASKHQDKDJ	(8) 1 pair
SASKHQDQDJ	(8) 1 pair
SASKHJCACK	(7) 2 pairs
SASKHJCACQ	(8) 1 pair
SASKHJCACJ	(7) 2 pairs
SASKHJCADA	(6) 3 cards
SASKHJCADK	(7) 2 pairs
SASKHJCADQ	(8) 1 pair
SASKHJCADJ	(7) 2 pairs
SASKHJCKCQ	(8) 1 pair
SASKHJCKCJ	(7) 2 pairs
SASKHJCKDA	(7) 2 pairs
SASKHJCKDK	(6) 3 cards
SASKHJCKDQ	(8) 1 pair
SASKHJCKDJ	(7) 2 pairs
SASKHJCQCJ	(8) 1 pair
SASKHJCQDA	(8) 1 pair
SASKHJCQDK	(8) 1 pair
SASKHJCQDQ	(8) 1 pair
SASKHJCQDJ	(8) 1 pair
SASKHJCJDA	(7) 2 pairs
SASKHJCJDK	(7) 2 pairs
SASKHJCJDQ	(8) 1 pair
SASKHJCJDJ	(6) 3 cards
SASKHJDADK	(7) 2 pairs
SASKHJDADQ	(8) 1 pair
SASKHJDADJ	(7) 2 pairs
SASKHJDKDQ	(8) 1 pair
SASKHJDKDJ	(7) 2 pairs
SASKHJDQDJ	(8) 1 pair
SASKCACKCQ	(7) 2 pairs
SASKCACKCJ	(7) 2 pairs
SASKCACKDA	(4) full house
SASKCACKDK	(4) full house
SASKCACKDQ	(7) 2 pairs
SASKCACKDJ	(7) 2 pairs
SASKCACQCJ	(8) 1 pair
SASKCACQDA	(6) 3 cards
SASKCACQDK	(7) 2 pairs
SASKCACQDQ	(7) 2 pairs
SASKCACQDJ	(8) 1 pair
SASKCACJDA	(6) 3 cards
SASKCACJDK	(7) 2 pairs
SASKCACJDQ	(8) 1 pair
SASKCACJDJ	(7) 2 pairs
SASKCADADK	(4) full house
SASKCADADQ	(6) 3 cards
SASKCADADJ	(6) 3 cards
SASKCADKDQ	(7) 2 pairs
SASKCADKDJ	(7) 2 pairs
SASKCADQDJ	(8) 1 pair
SASKCKCQCJ	(8) 1 pair
SASKCKCQDA	(7) 2 pairs
SASKCKCQDK	(6) 3 cards
SASKCKCQDQ	(7) 2 pairs
SASKCKCQDJ	(8) 1 pair
SASKCKCJDA	(7) 2 pairs
SASKCKCJDK	(6) 3 cards
SASKCKCJDQ	(8) 1 pair
SASKCKCJDJ	(7) 2 pairs
SASKCKDADK	(4) full house
SASKCKDADQ	(7) 2 pairs
